Temp,Soil
37,3
32,61
23,25
40,28
33,4
21,47
23,49
23,74
26,76
26,52
36,14
27,59
35,10
24,71
34,38
33,46
27,65
26,11
34,50
25,39
36,90
26,83
24,20
33,1
22,64
24,83
33,2
30,43
34,89
34,43
27,2
23,95
25,36
25,43
39,83
39,57
23,74
35,73
21,59
23,19
22,82
24,62
22,27
31,100
20,27
32,19
26,82
31,40
37,57
39,6
33,55
21,65
31,84
30,99
27,4
30,43
28,49
25,70
40,9
24,45
35,93
30,18
35,53
38,81
25,58
32,8
24,40
38,84
33,56
22,48
39,72
36,42
27,26
29,12
26,41
33,10
30,57
37,72
24,49
27,19
40,34
20,54
22,27
22,20
23,48
27,71
36,27
26,8
20,59
21,3
38,21
27,88
31,18
22,81
31,24
40,76
27,20
22,49
38,42
29,48
34,6
30,29
31,69
38,24
22,87
27,35
28,37
37,88
30,25
28,14
22,9
37,89
31,14
33,61
20,0
40,20
24,57
37,85
35,50
38,83
26,38
36,89
25,63
33,96
29,99
24,98
38,99
20,87
39,100
20,10
40,2
20,88
33,42
26,31
34,56
33,27
30,80
24,77
22,52
33,27
36,51
21,88
38,55
34,56
31,26
28,18
32,92
29,45
29,81
22,93
26,65
29,27
38,11
21,40
27,96
32,18
34,70
36,47
25,42
40,2
22,74
28,60
27,33
35,68
28,20
30,81
33,53
37,39
28,31
25,99
37,4
34,69
37,80
25,49
21,42
25,36
24,95
21,84
24,85
20,37
29,92
33,1
34,100
29,18
40,64
28,77
25,33
36,53
23,20
40,97
32,51
40,16
